"Participant","ParticipantGender","ParticipantAge","InterviewTime","Noun","Age","Gender","Education","ItemType","GramGender","Item","Sentence"
7,"female",32,412.38,"star",4,4,4,"experimental","feminine","star/as","C’est une star de la course à pied."
10,"female",24,724.59,"star",3,4,3,"experimental","feminine","star/as","C’est une star de la course à pied."
11,"female",21,839.88,"star",3,1,4,"experimental","feminine","star/as","C’est une star de la course à pied."
12,"female",22,518.82,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
14,"male",27,1493.74,"star",3,1,3,"experimental","feminine","star/as","C’est une star de la course à pied."
17,"female",25,840.05,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
18,"female",21,1413.65,"star",3,2,3,"experimental","feminine","star/as","C’est une star de la course à pied."
19,"N/A",32,448.5,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
20,"female",20,651.83,"star",4,4,4,"experimental","feminine","star/as","C’est une star de la course à pied."
22,"female",25,1095.14,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
24,"female",22,1167.49,"star",4,4,3,"experimental","feminine","star/as","C’est une star de la course à pied."
25,"male",24,677.83,"star",3,5,4,"experimental","feminine","star/as","C’est une star de la course à pied."
26,"female",28,520.58,"star",3,4,3,"experimental","feminine","star/as","C’est une star de la course à pied."
27,"female",31,981.42,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
31,"male",31,1266.73,"star",3,4,4,"experimental","feminine","star/as","C’est une star de la course à pied."
32,"female",21,701.66,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
33,"female",31,855.51,"star",3,3,4,"experimental","feminine","star/as","C’est une star de la course à pied."
34,"female",20,502.56,"star",4,4,6,"experimental","feminine","star/as","C’est une star de la course à pied."
35,"female",31,792.85,"star",4,4,4,"experimental","feminine","star/as","C’est une star de la course à pied."
37,"female",25,631.36,"star",6,4,5,"experimental","feminine","star/as","C’est une star de la course à pied."
38,"female",29,496.41,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
39,"female",25,654.53,"star",3,4,5,"experimental","feminine","star/as","C’est une star de la course à pied."
40,"female",20,810.88,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
